chefe;dificuldade;arma;vida;dps;segundos;transicoes
cuco;simples;reta;1172;32;63;2
cuco;simples;leque;1172;42,2;49;2
cuco;simples;teleguiada;1172;24;83;2
cuco;simples;rojao;1172;33,3;61;2
cuco;normal;reta;1750;32;95;4.4
cuco;normal;leque;1750;42,2;73;4.4
cuco;normal;teleguiada;1750;24;124;4.4
cuco;normal;rojao;1750;33,3;91;4.4
cuco;especialista;reta;2188;32;117;4.4
cuco;especialista;leque;2188;42,2;90;4.4
cuco;especialista;teleguiada;2188;24;154;4.4
cuco;especialista;rojao;2188;33,3;112;4.4
agulha;simples;reta;1340;32;72;2
agulha;simples;leque;1340;42,2;55;2
agulha;simples;teleguiada;1340;24;94;2
agulha;simples;rojao;1340;33,3;69;2
agulha;normal;reta;2000;32;108;4.5
agulha;normal;leque;2000;42,2;83;4.5
agulha;normal;teleguiada;2000;24;141;4.5
agulha;normal;rojao;2000;33,3;103;4.5
agulha;especialista;reta;2500;32;133;4.5
agulha;especialista;leque;2500;42,2;102;4.5
agulha;especialista;teleguiada;2500;24;175;4.5
agulha;especialista;rojao;2500;33,3;128;4.5
gramofone;simples;reta;1840;32;99;4
gramofone;simples;leque;1840;42,2;76;4
gramofone;simples;teleguiada;1840;24;130;4
gramofone;simples;rojao;1840;33,3;95;4
gramofone;normal;reta;2300;32;124;6
gramofone;normal;leque;2300;42,2;96;6
gramofone;normal;teleguiada;2300;24;163;6
gramofone;normal;rojao;2300;33,3;119;6
gramofone;especialista;reta;2875;32;153;6
gramofone;especialista;leque;2875;42,2;118;6
gramofone;especialista;teleguiada;2875;24;201;6
gramofone;especialista;rojao;2875;33,3;147;6
bigorna;simples;reta;1680;32;89;2
bigorna;simples;leque;1680;42,2;68;2
bigorna;simples;teleguiada;1680;24;117;2
bigorna;simples;rojao;1680;33,3;85;2
bigorna;normal;reta;2400;32;128;4.5
bigorna;normal;leque;2400;42,2;98;4.5
bigorna;normal;teleguiada;2400;24;168;4.5
bigorna;normal;rojao;2400;33,3;123;4.5
bigorna;especialista;reta;3000;32;158;4.5
bigorna;especialista;leque;3000;42,2;121;4.5
bigorna;especialista;teleguiada;3000;24;208;4.5
bigorna;especialista;rojao;3000;33,3;152;4.5
fuligem;simples;reta;1760;32;95;4.2
fuligem;simples;leque;1760;42,2;74;4.2
fuligem;simples;teleguiada;1760;24;125;4.2
fuligem;simples;rojao;1760;33,3;92;4.2
fuligem;normal;reta;2200;32;119;6.4
fuligem;normal;leque;2200;42,2;93;6.4
fuligem;normal;teleguiada;2200;24;156;6.4
fuligem;normal;rojao;2200;33,3;115;6.4
fuligem;especialista;reta;2750;32;147;6.4
fuligem;especialista;leque;2750;42,2;114;6.4
fuligem;especialista;teleguiada;2750;24;193;6.4
fuligem;especialista;rojao;2750;33,3;142;6.4
maestro;simples;reta;2400;32;128;5
maestro;simples;leque;2400;42,2;99;5
maestro;simples;teleguiada;2400;24;168;5
maestro;simples;rojao;2400;33,3;123;5
maestro;normal;reta;3000;32;161;8
maestro;normal;leque;3000;42,2;125;8
maestro;normal;teleguiada;3000;24;212;8
maestro;normal;rojao;3000;33,3;155;8
maestro;especialista;reta;3750;32;199;8
maestro;especialista;leque;3750;42,2;153;8
maestro;especialista;teleguiada;3750;24;262;8
maestro;especialista;rojao;3750;33,3;192;8
